performance_id,piece_1_feedback,piece_2_feedback
BKdJlEmO,"['pulse/positive', 'articulation/positive', 'playfulness/negative', 'contrast/negative', 'flow/positive']","['bounce/positive', 'rigid/negative', 'variation/negative', 'humour/negative', 'vigour/positive']"
BZAQwvKZ,"['expressive/[positive]', 'rubato/[positive]', 'reserved/[negative]', 'blurring/[negative]', 'balanced/[positive]']","['vivacity/[positive]', 'dynamics/[positive]', 'enthusiasm/[positive]', 'inconsistency/[negative]', 'voicing/[negative]']"
BZgQrmAd,"['bold/[positive]', 'presence/[positive]', 'depth/[positive]', 'voicing/[negative]', 'detailing/[positive]']","['gentle/[positive]', 'warmth/[positive]', 'projection/[positive]', 'strident/[negative]', 'mistuned/[negative]']"
BZkZoxKl,"[""'pleasing/[positive]"", 'legato/[negative]', 'projection/[positive]', 'contouring/[positive]', 'colour/[positive]']","['engaging/[positive]', 'subtle/[positive]', 'projection/[positive]', 'warmth/[positive]', ""restrained/[positive]'""]"
BdmjLXKg,"['brilliant/positive', 'agile/positive', 'expressive/positive', 'authoritative/positive', 'balanced/positive']","['swift/positive', 'virtuosic/positive', 'precise/positive', 'colorful/positive', 'rousing/positive']"
BlQReZXd,"[""'well-timed/[positive]"", 'crisp/[positive]', 'sparkle/[positive]', 'evenness/[positive]', 'subtler/[negative]']","['cheerful/[positive]', 'accurate/[positive]', 'coordinated/[positive]', 'consistent/[positive]', ""lacked-lightness/[negative]'""]"
BmrPygXx,"[""'clarity/[positive]"", 'paced/[positive]', 'flexibility/[negative]', 'balance/[negative]', 'secure/[positive]']","['sensitive/[positive]', 'control/[positive]', 'variety/[negative]', 'tone/[positive]', ""poise/[positive]'""]"
BpgXQmwO,"['buoyant/[positive]', 'robust/[positive]', 'confident/[positive]', 'energised/[positive]', 'slower/[negative]']","['controlled/[positive]', 'nuanced/[positive]', 'poised/[positive]', 'understated/[negative]', 'expressive/[positive]']"
BxzWPMGW,"[""'propulsive/[positive]"", 'fluent/[positive]', 'blurred/[negative]', 'assured/[positive]', 'energetic/[positive]']","['bright/[positive]', 'sparkling/[positive]', 'poised/[positive]', 'muffled/[negative]', ""unfocused/[negative]'""]"
DLpoPbeM,"['lilting/[positive]', 'reflective/[positive]', 'efficient/[positive]', 'improvement-needed/[negative]', 'consistent/[positive]']","['energetic/[positive]', 'relaxed/[positive]', 'unrestrained/[negative]', 'diligent/[positive]', 'rhythmic/[positive]']"
DOkyZwKO,"['sturdy/[positive]', 'rhythmic/[positive]', 'accurate/[positive]', 'characterful/[positive]', 'limited/[negative]']","['weighty/[positive]', 'well-grounded/[positive]', 'descriptive/[positive]', 'precise/[positive]', 'rigid/[negative]']"
DXJAplrA,"['articulation/[positive]', 'neat/[positive]', 'restrained/[negative]', 'contrast/[positive]', 'resolute/[positive]']","['shaping/[positive]', 'mistimed/[negative]', 'tempo/[negative]', 'clarity/[positive]', 'cohesive/[positive]']"
DZaJOyGr,"[""'engergised/positive"", 'vibrant/positive', 'cohesive/positive', 'imprecise/negative', 'monochrome/negative']","['fluid/positive', 'reflective/positive', 'sustained/positive', 'uneven/negative', ""rushed/negative'""]"
DkYJamjG,"[""'assured/[positive]"", 'clear/[positive]', 'secure/[positive]', 'poised/[positive]', 'expressive/[positive]']","['steady/[positive]', 'atmospheric/[positive]', 'hushed/[negative]', 'confident/[positive]', ""expressive/[positive]'""]"
DnaRnKjn,"['lively/[positive]', 'assured/[positive]', 'clarity/[positive]', 'conviction/[positive]', 'slip/[negative]']","['bold/[negative]', 'fluency/[positive]', 'memory/[positive]', 'narrative/[positive]', 'pedalling/[positive]']"
DxZjRmOE,"[""'lilt/[positive]"", 'elegant/[positive]', 'pulse/[positive]', 'secure/[positive]', 'contrast/[negative]']","['firm/[positive]', 'brisk/[positive]', 'balanced/[positive]', 'lively/[positive]', ""assured/[positive]'""]"
EAVMBedo,"[""'energetic/[positive]"", 'playful/[positive]', 'sparkling/[positive]', 'spontaneous/[positive]', 'smudged/[negative]']","['measured/[positive]', 'unfettered/[positive]', 'expressive/[positive]', 'authoritative/[positive]', ""communicative/[positive]'""]"
EDLqDNVD,"[""'delicate/positive"", 'accurate/positive', 'consistent/positive', 'underdeveloped/negative', 'narrow/negative']","['lilt/positive', 'smooth/positive', 'grace/positive', 'limited/negative', ""accuracy/positive'""]"
EGGOMwJa,"['energetic/[positive]', 'imaginative/[positive]', 'agile/[positive]', 'colourful/[positive]', 'conclusive/[positive]']","['expressive/[positive]', 'luxurious/[positive]', 'balanced/[positive]', 'spacious/[positive]', 'smudge/[negative]']"
EJaJLlQV,"[""'legato/[positive]"", 'fluent/[positive]', 'uneven/[negative]', 'catching/[negative]', 'assured/[positive]']","['colourful/[positive]', 'effective/[positive]', 'underdeveloped/[negative]', 'caught/[negative]', ""balanced/[positive]'""]"
EQYwKrXv,"['bold/[positive]', 'cohesive/[positive]', 'controlled/[positive]', 'tight/[negative]', 'confident/[positive]']","['calm/[positive]', 'balanced/[positive]', 'crisp/[positive]', 'secure/[positive]', 'expressive/[positive]']"
EQvQrORB,"[""'confident/[positive]"", 'robust/[positive]', 'assured/[positive]', 'understated/[negative]', 'unpoised/[negative]']","['clear/[positive]', 'fluent/[positive]', 'legato/[positive]', 'pedaling/[positive]', ""incomplete/[negative]'""]"
EVodkXkN,"['delicate/[positive]', 'inconsistency/[negative]', 'clarity/[positive]', 'nuance/[positive]', 'poise/[positive]']","['lively/[positive]', 'rhythmic/[positive]', 'detail/[positive]', 'imbalance/[EdXEMzXj,"[""'energetic/[positive]"", 'EdXEMzXj,"['energetic/positive', 'playful/positive', 'errors/negative', 'instability/negative', 'sparkling/positive']","['determined/positive', 'reserved/negative', 'uneven/negative', 'crisp/positive', 'purposeful/positive']"
EjxWgXJw,"['uneven/[negative]', 'heavy/[negative]', 'buoyant/[positive]', 'bright/[positive]', 'energetic/[positive]']","['one-coloured/[negative]', 'unsteady/[negative]', 'inconsistent/[negative]', 'energetic/[positive]', 'clarity/[positive]']"
EvmrKXqv,"['nuanced/[positive]', 'poised/[positive]', 'fluid/[positive]', 'expressive/[positive]', 'clarity/[negative]']","['crisp/[positive]', 'playful/[positive]', 'incisive/[positive]', 'committed/[positive]', 'idiomatic/[positive]']"
GElyNWnV,"['elegant/[positive]', 'cantabile/[positive]', 'nuanced/[positive]', 'flat/[negative]', 'underexpressive/[negative]']","['playful/[positive]', 'bright/[positive]', 'confident/[positive]', 'focused/[positive]', 'poetic/[positive]']"
GNgQeMXb,"[""'bright/[positive]"", 'assured/[positive]', 'confident/[positive]', 'fluid/[positive]', 'inconsistent/[negative]']","['bold/[positive]', 'determined/[positive]', 'momentum/[positive]', 'uneven/[negative]', ""fluid/[positive]'""]"
GQDAAGxx,"[""'crisp/positive"", 'precise/positive', 'even/positive', 'blemishes/negative', 'inconsistent/negative']","['delicate/positive', 'controlled/positive', 'poised/positive', 'blurring/negative', ""slips/negative'""]"
GVjqPKEW,"['steady/[positive]', 'flowing/[positive]', 'precise/[positive]', 'shaping/[positive]', 'improvable/[negative]']","['crisp/[positive]', 'appropriate/[positive]', 'hurrying/[negative]', 'dynamics/[positive]', 'inconsistent/[negative]']"
GWyOPjrV,"['graceful/positive', 'projected/positive', 'inconsistent/negative', 'ornamentation/negative', 'legato/negative']","['reliable/positive', 'confident/positive', 'blemishes/negative', 'inaccurate/negative', 'fluent/positive']"
GXYNoypr,"[""'crisp/[positive]"", 'cohesive/[positive]', 'articulate/[positive]', 'vibrant/[positive]', 'tighter/[negative]']","['soft/[positive]', 'expressive/[positive]', 'pedal-controlled/[positive]', 'clipped/[negative]', ""inconsistent/[negative]'""]"
GXggDkKV,"[""'flowing/[positive]"", 'momentum/[positive]', 'dialogue/[positive]', 'pedalling/[positive]', 'phrasing/[negative]']","['ambitious/[positive]', 'breathless/[negative]', 'disorganised/[negative]', 'determined/[positive]', ""poised/[positive]'""]"
GbDYQNWE,"['stylish/[positive]', 'poised/[positive]', 'nuanced/[positive]', 'untidy/[negative]', 'secure/[positive]']","['jaunty/[positive]', 'detached/[positive]', 'lyrical/[negative]', 'assured/[positive]', 'articulation/[positive]']"
GexazVyR,"[""'secure/[positive]"", 'precise/[positive]', 'legato/[negative]', 'contrasts/[negative]', 'flowing/[positive]']","['confident/[positive]', 'accurate/[positive]', 'octave-shift/[negative]', 'contrasts/[negative]', ""engaging/[positive]'""]"
GkYWKRYE,"['sprightly/[positive]', 'energetic/[positive]', 'crisp/[positive]', 'assured/[positive]', 'inadequate/[negative]']","['well-projected/[positive]', 'reliable/[positive]', 'gentle/[positive]', 'lacking/[negative]', 'sensitively/[positive]']"
Gpjdzzya,"[""'articulation/[positive]"", 'pulse/[positive]', 'contrast/[negative]', 'phrasing/[negative]', 'variety/[positive]']","['delicate/[positive]', 'colours/[positive]', 'pedal/[positive]', 'focus/[negative]', ""dynamics/[positive]'""]"
GvPQMAdo,"[""'stylistic/[positive]"", 'steady/[positive]', 'slips/[negative]', 'phrasing/[positive]', 'neat/[positive]']","['gentle/[positive]', 'soft/[positive]', 'imprecision/[negative]', 'flowing/[positive]', ""pedal/[positive]'""]"
JKKQPBpz,"[""'balanced/[positive]"", 'apt/[positive]', 'underdeveloped/[negative]', 'colorful/[positive]', 'unstable/[negative]']","['energetic/[positive]', 'slowed/[negative]', 'imprecise/[negative]', 'accurate/[positive]', ""unfocused/[negative]'""]"
JMlVYLnw,"[""'elegance/[positive]"", 'vitality/[positive]', 'rubato/[negative]', 'deviations/[negative]', 'phrasing/[positive]']","['spirit/[positive]', 'sparkle/[positive]', 'imprecisions/[negative]', 'articulation/[negative]', ""flamboyance/[positive]'""]"
JNReQRgw,"['crisp/[positive]', 'projected/[positive]', 'stylish/[positive]', 'uneasy/[negative]', 'impeded/[negative]']","['lyrical/[positive]', 'balanced/[positive]', 'dynamic/[positive]', 'instability/[negative]', 'continuity/[positive]']"
JNdWqNBG,"[""'expressive/positive"", 'melodic/positive', 'uneven/negative', 'dramatic/positive', 'pitchy/negative']","['energetic/positive', 'ambitious/positive', 'unsteady/negative', 'coherent/positive', ""poised/positive'""]"
JVolEnwg,"['lively/[positive]', 'crisp/[positive]', 'uneven/[negative]', 'understated/[negative]', 'dance-like/[positive]']","['apt/[positive]', 'steady/[positive]', 'uncoordinated/[negative]', 'understated/[negative]', 'confident/[positive]']"
JZkKVWDy,"['expressive/positive', 'defined/positive', 'accurate/positive', 'confident/positive', 'overbearing/negative']","['fluent/positive', 'precise/positive', 'controlled/positive', 'engaged/positive', 'blurring/negative']"
JaMAvxWM,"['accurate/[positive]', 'dynamic/[positive]', 'sparkling/[positive]', 'incohesive/[negative]', 'overbold/[negative]']","['unconvincing/[negative]', 'incohesive/[negative]', 'accurate/[positive]', 'expressive/[positive]', 'unbalanced/[negative]']"
JgLaEEbR,"['confident/[positive]', 'reliable/[positive]', 'articulated/[positive]', 'unsteady/[negative]', 'untidy/[negative]']","['poised/[positive]', 'shaped/[positive]', 'flexible/[positive]', 'unsettled/[negative]', 'overshadowed/[negative]']"
JoPvwryb,"[""'flow/[positive]"", 'gentle/[positive]', 'reflective/[positive]', 'bumpiness/[negative]', 'slips/[negative]']","['lively/[positive]', 'vibrant/[positive]', 'uncertainty/[negative]', 'inaccuracy/[negative]', ""buoyant/[positive]'""]"
JooEbxWe,"['smooth/[positive]', 'balanced/[positive]', 'clear/[positive]', 'secure/[positive]', 'underexpressed/[negative]']","['flow/[positive]', 'robust/[positive]', 'poise/[positive]', 'controlled/[positive]', 'expressive/[negative]']"
JrWqOoYx,"[""'well-paced/[positive]"", 'fluent/[positive]', 'projection/[negative]', 'consistency/[negative]', 'colourful/[positive]']","['poised/[positive]', 'fluent/[positive]', 'projection/[negative]', 'sincere/[positive]', ""confident/[positive]'""]"
JwJDLvWL,"['accurate/[positive]', 'inconsistent/[negative]', 'cautious/[negative]', 'fluent/[positive]', 'dance-like/[positive]']","['brisk/[positive]', 'secure/[positive]', 'imprecise/[negative]', 'understated/[negative]', 'controlled/[positive]']"
Jzzkpboj,"['confident/[positive]', 'clear/[positive]', 'unrhythmic/[negative]', 'untidy/[negative]', 'assured/[positive]']","['characterful/[positive]', 'bright/[positive]', 'unsteady/[negative]', 'hurried/[negative]', 'precise/[positive]']"
KElXlakb,"['sincere/[positive]', 'mysterious/[positive]', 'rhythmic/[positive]', 'lyrical/[positive]', 'improvable/[negative]']","['sustained/[positive]', 'precise/[positive]', 'irregular/[negative]', 'textural/[positive]', 'assured/[positive]']"
KJwZOJjZ,"[""'bright/[positive]"", 'articulated/[positive]', 'blemishes/[negative]', 'inconsistencies/[negative]', 'defined/[positive]']","['projection/[positive]', 'flexible/[positive]', 'inconsistent/[negative]', 'blurring/[negative]', ""assured/[positive]'""]"
KMElDLNL,"[""'bold/positive"", 'coordinated/positive', 'balanced/positive', 'accurate/positive', 'limited/negative']","['mysterious/positive', 'controlled/positive', 'underdeveloped/negative', 'vivid/positive', ""persuasive/positive'""]"
KRBZbvBZ,"['vibrancy/[positive]', 'articulation/[positive]', 'dexterity/[positive]', 'sparkle/[positive]', 'rushing/[negative]']","['impetus/[positive]', 'evenness/[positive]', 'dynamics/[positive]', 'slip/[negative]', 'character/[positive]']"
KWwokJNK,"['bright/[positive]', 'rhythmic/[positive]', 'articulation/[positive]', 'uneven/[negative]', 'coordination/[negative]']","['sincerity/[positive]', 'expressive/[positive]', 'warmth/[positive]', 'unevenness/[negative]', 'clarity/[negative]']"
KZOdLGna,"[""'flowing/[positive]"", 'warm/[positive]', 'balanced/[positive]', 'expressive/[positive]', 'accurate/[positive]']","['pulse/[positive]', 'control/[posiKZVbEEnb,"['reflective/[positive]', 'expressive/[positive]', 'pedalling/[negative]', 'shading/[negative]', 'flexible/[positive]']","['playful/[positive]', 'articulation/[positive]', 'inconsistent/[negative]', 'synchrony/[positive]', 'enjoyment/[positive]']"
KaAbrRzE,"[""'warmth/[positive]"", 'balanced/[positive]', 'understated/[negative]', 'secure/[positive]', 'controlled/[positive]']","['crisp/[positive]', 'balanced/[positive]', 'vivid/[positive]', 'swing/[positive]', ""engaging/[positive]'""]"
KrLQegkq,"[""'articulate/[positive]"", 'lively/[positive]', 'uneven/[negative]', 'nuanced/[positive]', 'colourful/[positive]']","['expressive/[positive]', 'sentimental/[positive]', 'excessive/[negative]', 'warmth/[positive]', ""flow/[positive]'""]"
KxbqDZWq,"['colourful/[positive]', 'elegant/[positive]', 'clear/[positive]', 'balanced/[positive]', 'imprecise/[negative]']","['warmth/[positive]', 'legato/[positive]', 'control/[positive]', 'unclear/[negative]', 'inconsistent/[negative]']"
KzAkADyO,"['bright/[positive]', 'buoyant/[positive]', 'accurate/[positive]', 'consistent/[positive]', 'limited/[negative]']","['broody/[negative]', 'lyrical/[positive]', 'nuanced/[positive]', 'varied/[positive]', 'focused/[positive]']"
LBXxZdQR,"['Rhythmic/[positive]', 'Accurate/[positive]', 'Coordinated/[positive]', 'Secure/[positive]', 'Confident/[positive]']","['Fluid/[positive]', 'Expressive/[positive]', 'Controlled/[positive]', 'Sentimental/[positive]', 'Precise/[positive]']"
LOWaxdpk,"['confident/[positive]', 'fluid/[positive]', 'bold/[positive]', 'unstable/[negative]', 'ungainly/[negative]']","['controlled/[positive]', 'lively/[positive]', 'energetic/[positive]', 'engaging/[positive]', 'unclear/[negative]']"
LRVgLOwp,"['soft/[positive]', 'elegant/[positive]', 'blurred/[negative]', 'imprecise/[negative]', 'nuanced/[positive]']","['atmospheric/[positive]', 'pinpointed/[positive]', 'unclear/[negative]', 'spacious/[positive]', 'imaginative/[positive]']"
LXNdpXlO,"['focused/[positive]', 'secure/[positive]', 'bold/[positive]', 'convincing/[positive]', 'fluctuating/[negative]']","['buoyant/[positive]', 'compelling/[positive]', 'balanced/[positive]', 'lyrical/[positive]', 'stumbles/[negative]']"
LaQMNNwl,"['flow/[positive]', 'warmth/[positive]', 'projection/[positive]', 'expressive/[positive]', 'energy/[positive]']","['serenity/[positive]', 'shaping/[positive]', 'variation/[positive]', 'inconsistent/[negative]', 'presentation/[positive]']"
LaqdOGbn,"['flowing/[positive]', 'clear/[positive]', 'distracting/[negative]', 'arc/[positive]', 'unclear/[negative]']","['expressive/[positive]', 'balanced/[positive]', 'uncertain/[negative]', 'convincing/[positive]', 'stylish/[positive]']"
LdloqzRj,"[""'dramatic/[positive]"", 'refined/[positive]', 'clear/[positive]', 'blurs/[negative]', 'unevenness/[negative]']","['vivid/[positive]', 'flamboyant/[positive]', 'unclear/[negative]', 'blemishes/[negative]', ""momentum/[positive]'""]"
Leojqxqb,"[""'precise/[positive]"", 'well-defined/[positive]', 'nuanced/[positive]', 'accurate/[positive]', 'controlled/[positive]']","['expressive/[positive]', 'rubato/[positive]', 'warm/[positive]', 'lyrical/[positive]', ""uneven/[negative]'""]"
LkeQJOkK,"['assured/[positive]', 'bright/[positive]', 'rushed/[negative]', 'untidy/[negative]', 'convincing/[positive]']","['expressive/[positive]', 'legato/[positive]', 'reliable/[positive]', 'imbalanced/[negative]', 'unclear/[negative]']"
LmzMelOw,"['lively/[positive]', 'untidy/[negative]', 'skip/[positive]', 'incomplete/[negative]', 'dynamic/[positive]']","['precise/[positive]', 'clean/[positive]', 'varied/[positive]', 'understated/[negative]', 'buoyant/[positive]']"
LnwbNOAW,"['bright/[positive]', 'flowing/[positive]', 'precise/[positive]', 'heavy/[negative]', 'reliable/[positive]']","['lyrical/[positive]', 'fluid/[positive]', 'misaligned/[negative]', 'projection/[negative]', 'atmospheric/[positive]']"
LpBbrgjJ,"[""'balanced/[positive]"", 'confident/[positive]', 'articulate/[positive]', 'secure/[positive]', 'dynamic/[positive]']","['controlled/[positive]', 'smooth/[positive]', 'expressive/[negative]', 'sustained/[negative]', ""momentum/[positive]'""]"
MLblkNYp,"['decisive/[positive]', 'warm/[positive]', 'projection/[positive]', 'unevenness/[negative]', 'reliable/[positive]']","['incisive/[positive]', 'intensity/[positive]', 'involvement/[positive]', 'unsteady/[negative]', 'assurance/[positive]']"
MNmXrOoa,"['confident/[positive]', 'rhythmic/[positive]', 'coordinated/[positive]', 'hesitancy/[negative]', 'lightness/[positive]']","['flowing/[positive]', 'assured/[positive]', 'overshadowing/[negative]', 'unbalanced/[negative]', 'lyrical/[positive]']"
MPYkrQrk,"[""'fluent/[positive]"", 'even/[positive]', 'articulate/[positive]', 'rushed/[negative]', 'blemishes/[negative]']","['projection/[positive]', 'bright/[positive]', 'confident/[positive]', 'rushed/[negative]', ""compromised/[negative]'""]"
MQQnaVYb,"['assertive/[positive]', 'flow/[positive]', 'cautious/[negative]', 'fluctuations/[negative]', 'accurate/[positive]']","['sensitive/[positive]', 'angular/[negative]', 'clarity/[positive]', 'errors/[negative]', 'focus/[positive]']"
