performance_id,age_group,ability_group,title_piece_1,composer_piece_1,title_piece_2,composer_piece_2,mark,feedback
BKdJlEmO,10-12,Up to Grade 5,Waltz,Edvard Grieg,Danse du cocher,Jacques Ibert,75,"The left hand provided a clear pulse in the Waltz, and there was variation in articulation. Further rhythmic playfulness and vitality were required, however, and more of the dance element needed to find expression. Although more contrast between the sections of the music was desirable, with some split sounding chords audible, forward flow was sustained, with some variety in dynamics displayed.  Energy was communicated at the start of the Ibert, and there was bounce in the touch. The tone sounded a little rigid and forced when strong accents were played, despite this, and there was room for greater variation between repeated phrases. Further humour and colour awaited capture, but a suitably lively tempo was chosen. There was some effective use of dynamics, as well as the necessary vigour.  An ability to preserve forward flow was a positive factor in this performance, with some contrast achieved between the two chosen works despite both of them being dances. The first item, however, lacked the conviction and vitality of the ’Danse du Cocher’, and poise in the stage presentation was weakened by the brief one-note false start at the beginning, and by leaving the hands collapsed on the keyboard at one point. Good variety in articulation and dynamics was conveyed, nonetheless, with use of the pedal adding warmth and dimension to the sound, and the pulse retained focus.  There were encouraging moments of buoyancy and spontaneity captured in your playing, with some rich sounds drawn from the bass of the piano. Keep up the good work!"
BZAQwvKZ,7-9,Grade 5 and above,Träumerei,R.Schumann,O polichinelo,Villa-Labos,77,"Expressive shaping and use of rubato gave character to the Schumann.  There was scope for greater movement forwards at times, the tempo just a little too reserved, and although the sustained style was found, unnecessary harmonic blurring occurred on occasion.  However, textural balancing favoured the melody, and the quieter dynamic levels were well controlled.    The vivacity of 'O polichinelo' was in place, and use of a wide dynamic range gave this a sense of excitement.  Evenness was not consistent, however, despite the accuracy of the playing, with hand alternation and voicing sometimes compromised, and with scope for even greater musical detail.  Nonetheless, you played this with clear enthusiasm, the overall character of the music evident.    The contrasting styles were clearly defined, the pacing of the programme well judged, and throughout the performance, you played with enthusiasm and conviction.  The extremes of tempo used did have an effect on musical outline and technique on occasion, but stylistic engagement and accuracy were consistent.    Well done on this very good performance.  I particularly enjoyed the contrasts you made in your playing."
BZgQrmAd,16-18,Grade 5 and above,"Prelude in C-sharp minor, Op.3, No.2",Sergei Rachmaninoff,Indigo Moon,Elissa Milne,88,"A bold opening statement in the Prelude gave a sense of presence, and the octaves were given tonal depth. The chords were not always quite placed together as the piece progressed, but the notes were in place. The contrasting sections were effectively managed and the more lyrical middle had apt phrase shaping and expressive detailing. The technical delivery was largely secure and the performance was assertive and musically aware.   Indigo Moon began gently and at a suitable steady and restrained tempo. The melodic line was given tonal warmth and projection and the chords were mostly reliable. There were some overly strident tones as the account progressed, and also some occasional missed notes. The pulse was suitably fluid though, and the style was well portrayed.   A live spoken introduction would have enhanced the overall sense of performance, as would a final ackowledgment at the end of the presentation. The playing was musical and accomplished though, and held a clear sense of outward communication, with an air of authority at times. Super!"
BZkZoxKl,16-18,Grade 5 and above,Venetianisches Gondelied,Felix Mendelssohn,Indigo Moon,Elissa Milne,78,"A pleasing lilt was created at the start of the Mendelsson and described the movement of the gondola effectively. The chords were not always placed together, and the legato was not fully maintained. The melodic line was given projection though, and there were signs of contouring and dynamic colour. The contrast in articulation was evident but a greater sense of the legato and of flow would have been welcome. however, the technical delivery was reliable and rhythmic outlines remained poised.  The tempo was suitably restrained and relaxed at the start of Indigo Moon and the rhythmic patterns were evident, yet relaxed. The chords were not always placed together, but the melodic line had projection and some tonal warmth. The rubato styling was graded sensitively and the dynamic range was apt in this expressive and communicative interpretation.  The chosen pieces were suitably contrasting and the presentation showed stylish awareness. The technical delivery was largely secure, though a little more tonal refinement would have been welcome in the first piece. Indigo Moon was particularly engaging and subtle, and also well controlled.   Congratulations on a very good and communicative presentation."
BdmjLXKg,16-18,Grade 5 and above,Sonata No.11 Op.22 (1st Movement),Beethoven,Etude Op.10 No.4,Chopin,96,"A bright and spirited opening in the Beethoven gave a clear sign of technical facility and finger agility. The semiquavers were mostly even, if not always fully defined, and the hands were balanced and coordinated. An assortment of tonal qualities were found and more lyrical passages had a fitting cantabile. The articulation styles were suitably varied and the detailing was committed in this exciting and dramtic account. The playing held an air of authority and the technical delivery was secure and accomplished.  The Chopin was also played at a very brisk tempo and showed considerable technical accomplishment. The overall contouring was clearly portrayed with a broad overview in the interpretation. The finer detailing was also well observed and the playing was rousing with touches of brilliance. Super!  Whilst there was a contrast in the Periods of the pieces both demonstrated your considerable finger agility, and similarities in the quick tempi adopted. However, there were touches of lyricism and tonal exploration in the Beethoven, and this was a very engaging and stunning performance overall. The playing was outward and assertive, with a clear sense of musical authority and performance awareness. Congratulations on this outstanding and most enjoyable presentation. Bravo!"
BlQReZXd,13-15,Up to Grade 5,Spiritoso,Muzio Clementi,The Village In May,Joe Hisaishi,70,"The Clementi had a well chosen tempo and examples of crisp fingerwork. Extra sparkle and evenness in the longer semiquaver running passages were possible, along with a more subdued accompaniment. Dynamic variety buoyed up the playing, and the classical style was targeted, though a subtler gradation of tone could have further captured its vivacious spirit. A confident and decisive appearance won through.  The Village in May had a suitably cheerful personality and good accuracy, with a firmly established tempo and largely coordinated hands. It needed additional lightness and variety of touch, to more fully capture the daintier areas of the music, but there was a good level of consistency and character to it.  The two pieces contrasted well and achieved clear style identities. A few extra seconds of repose between items could have further enhanced the performance, and even greater technical ease was possible. The best areas of the playing sprang to life well, and with extra ingenuity in regard to contrasts.  Congratulations on this very good performance, and best wishes for the future!"
BmrPygXx,10-12,Up to Grade 5,Moderato,attrib.Ludwig van Beethoven,The Singing Swan,Alexis Ffrench,82,"There was effective clarity in the detail of the articulation of Beethoven’s Moderato, and you paced this well. Greater flexibility of phrase and line was possible, and sometimes the left-hand accompaniment needed more nuanced balance, but this flowed evenly and gently throughout.  The Singing Swan by Ffrench was sensitively defined and there was commendable control upheld in the rhythmic flow. The phrasing tended to lack variety, with missed opportunities for expressive shape being present, but the tone was projected with sensitivity.  You brought a feeling of poise and commitment to your playing and there was a strong overall sense of performance awareness conveyed. More expressive insight needed to be communicated, particularly through pliable phrasing, but the technical delivery was secure and well-grounded.  Congratulations on bringing such reliable control to your excellent performance!"
BpgXQmwO,10-12,Up to Grade 5,Ticklin' Toes,Florence B. Price,Moment Musical in F minor,Schubert,89,"The bright and buoyant character of Ticklin’ Toes was clear at the start through the clean lines and use of articulation. This moved with a robust sense of pulse, though there was scope for this to take a more brisk tempo, and for the lines to be even more energised, though the dynamic involvement was confident and engaging. Notes were secure in pitch throughout.  Strong and purposeful, the Schubert was well controlled in relation to tone and texture. There were some communicative stylistic nuances present, as well as some organised dynamic contrasts, but there was scope for the variation between the forte and pianissimo playing to be even more vivid. This was technically assured throughout, with the performance itself spirited and positive.  There was a strong sense of poise and control during this performance, with the different musical characters of the pieces confidently conveyed. Although there was scope for the dynamic involvement to be more vivid, and to explore a wider range of tonal sonorities, the performances were still expressive and communicative, with the technical demands assured throughout.  This was an excellent performance - I particularly enjoyed the sensitive shaping of the second piece, and how the phrases were given space to breathe. Thank you for playing."
BxzWPMGW,7-9,Up to Grade 5,Tarantella Twist,Victoria Proudler,The Muppet Show Theme,Jim Henson and Sam Pottle,79,"Tarantella Twist had assured momentum at a lively pace, with clear projection of the dynamic details. Not all the LH quavers were evenly controlled and there was an occasional smudge in clarity but the playing had a confident fluency.  A bright tone and lift in the staccato detail supported the character of The Muppet Show Theme. A firm pulse was not fully sustained through the middle section and the melodic line could have been more clearly projected but notes were very assured.  There was a poise in this performance, and although more sense of engagement with the character of each piece was possible, the contrast in character of the chosen pieces came across.  A sense of focus and conviction in this performance was well sustained."
DLpoPbeM,10-12,Up to Grade 5,Idylle,Cecile Chaminade,Ticklin' Toes,Florence B.Price,82,"Idyll had a gently lilting tempo, which helped capture the reflective mood, and pedalling was efficient, if not always wholly discreet. There was room for further direction in the phrasing and for a more singing approach to the melody, but the style of the music was consistently delivered.   There was plenty of energy in both the tempo and rhythmic approach in Ticklin’ Toes, and the relaxed style was clearly enjoyed. There were a few less restrained right hand bars in the second half, and room for even more diligent observation of the finer musical detail. However, much of this swung along with freedom.  This was a carefully paced performance, with good use of time between pieces. The different musical styles were understood and delivered with consistent detail, though there was scope for further dynamic colour overall and exploration of accents in the second piece. Your enjoyment, though, was obvious, and was shared.  Well done-I especially enjoyed the energy and rhythmic purpose of Ticklin’ Toes."
DOkyZwKO,7-9,Up to Grade 5,King for a Day!: From Magic Beans.,Ben Crosland,The Elephant Herd: from Safari.,June Armstrong,81,"You opened your performance with a sturdy performance of King for a Day! and there was robust rhythmical control upheld throughout. There was scope for more variety in the phrasing, as well as nuanced balance between the theme and accompaniment, but note accuracy was guaranteed and you brought out a feeling for the music’s character.  The Elephant Herd was weighty and well-grounded, and one could sense the descriptive quality of the music through the firm tonal projection and precise articulation. The phrasing lacked full flexibility, and there was space for more energetic impetus overall, but there was a decisive feeling of style present.  Both works had a similar sense of character, but you brought these out effectively, even if more expressive input was possible in the phrasing. Nonetheless the articulation was spirited, and commendable technical control was always maintained.  Congratulations on your confident performance, and on such a poised sense of presentation throughout!"
DXJAplrA,13-15,Grade 5 and above,SONATA IN D,D. SCARLATTI,IMPROMPTU IN B MINOR,SAMUEL COLERIDGE-TAYLOR,78,"The Scarlatti featured crisp articulation and mostly tidy coordination, if at a slightly conservative tempo for this vibrant ’Allegro’ movement. Whilst there was a need for a little more forward impetus to drive the phrases with greater energy, there were effective and appropriate contrasts in dynamic to bring it variety. For the most part the ornamentation was neatly integrated into the pulse and the clear and resolute tone was well suited to the idiom.  The Impromptu followed the dynamic contours carefully and the opening was gracefully shaped. Mistimed changes of pedal caused a few small blurs of harmony but the melodic line was well highlighted in the minor key passage. At the change of tonality to D major the tempo flagged a little and the phrasing became more static. The spread chords were neatly negotiated, with just the occasional minor note blemish occurring. Overall there was scope for further expressive intensity but it was a well-controlled performance otherwise, showing respect for much of the detail of the composer’s writing.  You presented the programme in a calm and professional manner, if needing to remain still for a little longer at the piano before switching to the second piece. The technical aspect of the playing showed a good level of accuracy in both notes and rhythm, with tidy articulation where appropriate. Pedalling occasionally created smudges of harmony but melodic lines were usually clear in definition. The contrasts between the two styles were well grasped, with a firm sense of pulse underpinning the Scarlatti and some thoughtful phrase-shaping in the more lyrical work, albeit with room for more free-flowing tempi at times to enhance the depth of expressive detail. Nevertheless it was a cohesive and well-committed performance.  I enjoyed your performances very much - well done and good luck in all your future musical endeavours!"
DZaJOyGr,10-12,Up to Grade 5,Sonatina Op. 36 No. 3,Muzio Clementi,Prelude I in C Major,Johann Sebastian Bach,74,"Clementi’s Sonatina was energised in tempo and rhythmic approach, and details of articulation were often vibrant. Hands worked efficiently together much of the time, though not all semiquavers were under rigorously even control, and there was room for a wider range of tonal colour. Moments of instability impacted trills and cadences, but most were quickly resolved.  You chose a suitably fluid tempo for Bach’s Prelude in C, which was quite well maintained, despite unevenness of right hand semiquavers and a slight tendency to rush. There was scope for further direction in the melody, and missing bars (due to time restraints) caused unusual harmonic progressions in the middle section. This was carefully sustained though, with a clear feeling of the reflective mood.  This was a contrasting performance, with a sense of occasion, and with sufficient space between pieces. There were some technical challenges in the Clementi, and keeping all semiquavers under strict control was not quite achieved. The Bach flowed quite freely, despite harmonic irregularities and a slight inclination to rush. You played with purpose and with some added musical detail.  This was a colourful and determined performance, well done."
DkYJamjG,7-9,Up to Grade 5,ALLEGRO,SHINICHI SUZUKI,THE MOONS OF JUPITER,NANCY FABER,86,"A very assured control of pulse underpinned the Allegro, with clear projection of the musical details and very secure notes, although the melody needed further projection in the softest playing.  There was always a sense of poise and control in the playing of The Moons of Jupiter, with an atmospheric stillness in the opening phrases, although the LH needed to be even more ""hushed"" in the balance. The final stages explored the drama of the dynamics and keyboard range very confidently with some effective pacing.  This was a communicative performance with the bold contrast of character between the chosen pieces very convincingly conveyed.  A very enjoyable programme, with plenty of expressive musical detail – an excellent performance."
DnaRnKjn,7-9,Up to Grade 5,Sparkling Splashes & Smooth Water,Barbara Arens,Cloudy Day,Christopher Norton,73,"The Arens was played with a positive tone and at a lively tempo. Clearer contrast in dynamics was possible and more of the tempo directions, but the staccato detail had clarity and the notes were largely assured.  There was a crisp lift to the staccato if the tone was rather bold for the softer passages in Cloudy Day, such as the opening. Overall there was a much wider range of dynamics to explore, and there was the odd note slip, but the pedalling was mostly effective with some sense of the narrative present.  This performance showed a good sense of commitment and conviction. Although there was more to discover in the musical detail to really elucidate the narrative of each piece, there was a confidence in the fluency, and all by memory.  Musical intent was evident in your playing - well done."
DxZjRmOE,10-12,Up to Grade 5,Sleeping Beauty - Sipkova Ruzenka,Ivana Loudova,Get in step,Christopher Norton,83,"There was a rhythmic lilt at this elegant tempo for Sleeping Beauty, with a reliable pulse and secure notes. More contrast in the softer tones was possible but there was clear attention to much of the detail.   The pulse was firm and brisk in the Norton, with carefully balanced hands and lively energy in the articulations.   An assured feel to this performance, all securely memorised with poise in the overall pacing and the contrasting musical characters of the pieces clearly conveyed, although more nuances of style to explore in the first piece.   I particularly enjoyed the rhythmic energy and conviction in your playing of Get in Step - well done."
EAVMBedo,10-12,Grade 5 and above,"Divertimento in G Major, Hob : XVI : G1, 1st movement",J. Haydn,Waltz Op.64 No.1,F. Chopin,94,"The Haydn was played with appropriate energy and attack, revealing a full array of contrasts as it progressed. Phrasing had clear shape and structure and there was a spontaneity to the playing which gave the account a playful character. Occasionally the cadence points hurried with some small smudges but otherwise the piece had sparkling and controlled fingerwork.  In the Chopin the pace was suitably judged and the waltz was able to dance with freedom from the outset. Throughout, expressive elements were deployed to add contrast and excitement; this was authoritative playing which fully caught the spirit of the piece.  The composer’s intentions were always at the fore in these intelligent readings and the presentation was calmly paced.  Outstanding playing here, I enjoyed the sense of fun and communication throughout."
EDLqDNVD,13-15,Grade 5 and above,"Prelude in C sharp minor: No. 10 from 24 preludes, Op. 81",Stephen Heller,"Venetianisches Gondellied: No. 6 from Lieder ohne Worte, Op. 19b",Felix Mendelssohn,79,"Tonal delicacy gave the Prelude character, fingerwork even in the semiquaver movement. There were moments of tonal shaping, although even greater tracing of the line was possible, with further dynamic width needed, particularly at extremes of range, However, the piece was accurately played with consistency of pulse and technical assurance in place.  The Mendelssohn captured the lilt of the style from the outset, the accompaniment given appropriate tonal graduation to support the compound metre. Although smoothly played, further tonal projection of the melody was possible, and greater dynamic contrast was needed to give the piece full programmatic character, despite its appropriate contrasts of articulation and overall accuracy.  Throughout the performance, you played with grace and poise, the contrasting styles of the pieces defined through variation of articulation. Exploration of a wider dynamic range would have enhanced musical characterisation, but the accuracy of the playing was a highlight.  Congratulations on this very good performance which showed clear technical security. I wish you the best for your future musical ventures."
EGGOMwJa,10-12,Grade 5 and above,"French Suite No.5 in G major, BWV 816 VII. Gigue",J.S. Bach,Liebestraum No. 3 in A-flat major,Franz Liszt,95,"Bach’s Gigue danced with unrelenting energy from the start, and dialogue between hands was both imaginative and agile. Dynamics added colour and there was a lovely feeling of building shape. The end was especially conclusive.   Expressive ideas were quickly on show in Liszt’s Liebestraum, and a flexible approach to phrasing highlighted more luxurious harmonic moments. Balance between parts was often confidently managed, allowing the melody to sing with freedom. There was a very occasional smudge in more complex passages, but this was a sensitive and controlled performance, with an instinctive grasp of both styles.  This was a poised and spacious performance, showing a mature and instinctive grasp of both pieces. Technical demands were effortlessly met, leaving space to communicate your imaginative musical thoughts.  Congratulations. This was an outstanding performance. Best wishes for future success and enjoyment."
EJaJLlQV,10-12,Grade 5 and above,"Solfeggietto in C minor, H. 220 Wq. 117:2",C. P. E. Bach,Fountain in the Rain,William Gillock,82,"Even management of tone gave a lovely sense of legato to much of the Bach. Rhythmically it could have been even more tidy; some semiquavers less evenly placed, mainly in the arpeggiated figures. Right hand material was generally less neat and projected in the second half, but you kept the flow despite some catching of adjacent keys, finding the notes assuredly overall, at an apt pace and with varied detail.  The Gillock had a colourful opening, with the quieter parts of the piece particularly effective in this sense. It needed further sonority to communicate the musical idea more vividly, especially around the cadenza and in the louder parts thereafter. Caught keys slightly impacted the harmonic effect in the left hand ornaments later on, with the larger intervals not as seamlessly incorporated in the latter stages too. Regardless, it still remained fluent as a whole and was effectively balanced.  Committed playing, with a genuine sense of engagement with the music communicated in the most assured parts of the Gillock. More confident management of faster rhythms and louder playing would have brought further musical clarity to both pieces. They were, nevertheless, clearly stylised, the contrasting sound-worlds well differentiated.  Well done! Overall this was an excellent performance which demonstrated your varied and admirable musical skills. I wish you well on your future musical endeavours!"
EQYwKrXv,10-12,Up to Grade 5,Tarantella Twist,Victoria Proudler,Always with Me,"Youmi Kimura, Wakako Kaku",82,"The first piece began with a bold tone, and the hands worked well together. Phrases moved with a sense of direction, lines were contoured, and the there was some effective control of the pedal. Hands needed tighter control in the soft section, and there was scope for the shaping to be even more vibrant and persuasive, but notes were reliable in relation to pitch and were confidently projected throughout.  The calm nature of Always with Me was evident from the start, with smooth lines and a well balanced texture. There was room to explore the expressive components of the character more persuasively, using a wider range of tonal sonorities, particularly within the softer dynamic parts, though the articulation within the second section was crisp and buoyant, with the playing overall secure.  There was a clear sense of pacing between the individual items, as well as poise and control during the playing. The pieces were well contrasted and created an appropriate mood, though there was room for even more vibrant and vivid portrayal overall. The technical demands of the programme were largely well met.  I particularly enjoyed the bold and confident start in Tarantella Twist! It felt like you really enjoyed playing this one too!"
EQvQrORB,7-9,Up to Grade 5,"Moderato: first movement from Sonatina in G, WoO Anh. 5",attrib. Ludwig van Beethoven,"Hedwig's Theme (from Harry Potter and the Sorcerer's/Philosopher's Stone), arr. Harris",John Williams,72,"There was a confident flow of notes in the Beethoven with a very robust pulse sustained. Tone was firm, however more dynamic shaping and careful tapering of the phrases would have enhanced the elegance of this style.  Hedwig’s Theme had a clear tone and fluency. Although a more lyrical sense of line, shape and dynamic flexibility was possible to support musical mood, the pedal-work was effective and a legato flow sustained.  A sense of performance was present with good fluency. Further poise was needed at the conclusion of the playing, and there were more nuances of style to explore to highlight the contrasting musical genres, but the notes were very assured.  There was a clear sense of focus in your performance today - Well done."
EVodkXkN,7-9,Up to Grade 5,The Song of Twilight,Yoshinao Nakada,The Spanish Guitar,William Gillock,88,"There was a delicacy of tone colour overall in Song of Twilight, despite occasional lapses in control of tone and effective balance. The pulse pushed onwards at times, however the melodic line was clearly conveyed and there was sensitivity in the dynamic contrasts, with poise in the overall pacing.  A lively tempo and clear grasp of the rhythmic character were strengths in The Spanish Guitar with a clarity in the most of the triplet figures. Musical detail was largely very well realised and although there were some lapses in balance and tone control this was a spirited and energetic performance.  You clearly understood the contrasting characters of your chosen pieces and there was always a sense of involvement and of communication in your performance.  I really enjoyed the vibrant musical detail of The Spanish Guitar - an excellent performance."
