performance_id|piece_1_feedback|piece_2_feedback
BZgQrmAd|['bold/positive', 'presence/positive', 'depth/positive', 'voicing/negative', 'detailing/positive']|['gentle/positive', 'warmth/positive', 'projection/positive', 'strident/negative', 'mistuned/negative']
BZkZoxKl|['pleasing/positive', 'legato/negative', 'projection/positive', 'contouring/positive', 'colour/positive']|['engaging/positive', 'subtle/positive', 'projection/positive', 'warmth/positive', 'restrained/positive']
BdmjLXKg|['brilliant/positive', 'agile/positive', 'expressive/positive', 'authoritative/positive', 'balanced/positive']|['swift/positive', 'virtuosic/positive', 'precise/positive', 'colorful/positive', 'rousing/positive']
BlQReZXd|['well-timed/positive', 'crisp/positive', 'sparkle/positive', 'evenness/positive', 'subtler/negative']|['cheerful/positive', 'accurate/positive', 'coordinated/positive', 'consistent/positive', 'lacked-lightness/negative']
BmrPygXx|['clarity/positive', 'paced/positive', 'flexibility/negative', 'balance/negative', 'secure/positive']|['sensitive/positive', 'control/positive', 'variety/negative', 'tone/positive', 'poise/positive']
BpgXQmwO|['buoyant/positive', 'robust/positive', 'confident/positive', 'energised/positive', 'slower/negative']|['controlled/positive', 'nuanced/positive', 'poised/positive', 'understated/negative', 'expressive/positive']
BxzWPMGW|['propulsive/positive', 'fluent/positive', 'blurred/negative', 'assured/positive', 'energetic/positive']|['bright/positive', 'sparkling/positive', 'poised/positive', 'muffled/negative', 'unfocused/negative']
DLpoPbeM|['lilting/positive', 'reflective/positive', 'efficient/positive', 'improvement-needed/negative', 'consistent/positive']|['energetic/positive', 'relaxed/positive', 'unrestrained/negative', 'diligent/positive', 'rhythmic/positive']
DOkyZwKO|['sturdy/positive', 'rhythmic/positive', 'accurate/positive', 'characterful/positive', 'limited/negative']|['weighty/positive', 'well-grounded/positive', 'descriptive/positive', 'precise/positive', 'rigid/negative']
DXJAplrA|['articulation/positive', 'neat/positive', 'restrained/negative', 'contrast/positive', 'resolute/positive']|['shaping/positive', 'mistimed/negative', 'tempo/negative', 'clarity/positive', 'cohesive/positive']
DZaJOyGr|['engergised/positive', 'vibrant/positive', 'cohesive/positive', 'imprecise/negative', 'monochrome/negative']|['fluid/positive', 'reflective/positive', 'sustained/positive', 'uneven/negative', 'rushed/negative']
DkYJamjG|['assured/positive', 'clear/positive', 'secure/positive', 'poised/positive', 'expressive/positive']|['steady/positive', 'atmospheric/positive', 'hushed/negative', 'confident/positive', 'expressive/positive']
DnaRnKjn|['lively/positive', 'assured/positive', 'clarity/positive', 'conviction/positive', 'slip/negative']|['bold/negative', 'fluency/positive', 'memory/positive', 'narrative/positive', 'pedalling/positive']
DxZjRmOE|['lilt/positive', 'elegant/positive', 'pulse/positive', 'secure/positive', 'contrast/negative']|['firm/positive', 'brisk/positive', 'balanced/positive', 'lively/positive', 'assured/positive']
EAVMBedo|['energetic/positive', 'playful/positive', 'sparkling/positive', 'spontaneous/positive', 'smudged/negative']|['measured/positive', 'unfettered/positive', 'expressive/positive', 'authoritative/positive', 'communicative/positive']
EDLqDNVD|['delicate/positive', 'accurate/positive', 'consistent/positive', 'underdeveloped/negative', 'narrow/negative']|['lilt/positive', 'smooth/positive', 'grace/positive', 'limited/negative', 'accuracy/positive']
EGGOMwJa|['energetic/positive', 'imaginative/positive', 'agile/positive', 'colourful/positive', 'conclusive/positive']|['expressive/positive', 'luxurious/positive', 'balanced/positive', 'spacious/positive', 'smudge/negative']
EJaJLlQV|['legato/positive', 'fluent/positive', 'uneven/negative', 'catching/negative', 'assured/positive']|['colourful/positive', 'effective/positive', 'underdeveloped/negative', 'caught/negative', 'balanced/positive']
EQYwKrXv|['bold/positive', 'cohesive/positive', 'controlled/positive', 'tight/negative', 'confident/positive']|['calm/positive', 'balanced/positive', 'crisp/positive', 'secure/positive', 'expressive/positive']
EQvQrORB|['confident/positive', 'robust/positive', 'assured/positive', 'understated/negative', 'unpoised/negative']|['clear/positive', 'fluent/positive', 'legato/positive', 'pedaling/positive', 'incomplete/negative']
EVodkXkN|['delicate/positive', 'inconsistency/negative', 'clarity/positive', 'nuance/positive', 'poise/positive']|['lively/positive', 'rhythmic/positive', 'detail/positive', 'imbalance/EdXEMzXj', 'energetic/positive']
EjxWgXJw|['uneven/negative', 'heavy/negative', 'buoyant/positive', 'bright/positive', 'energetic/positive']|['one-coloured/negative', 'unsteady/negative', 'inconsistent/negative', 'energetic/positive', 'clarity/positive']
EvmrKXqv|['nuanced/positive', 'poised/positive', 'fluid/positive', 'expressive/positive', 'clarity/negative']|['crisp/positive', 'playful/positive', 'incisive/positive', 'committed/positive', 'idiomatic/positive']
GElyNWnV|['elegant/positive', 'cantabile/positive', 'nuanced/positive', 'flat/negative', 'underexpressive/negative']|['playful/positive', 'bright/positive', 'confident/positive', 'focused/positive', 'poetic/positive']
GNgQeMXb|['bright/positive', 'assured/positive', 'confident/positive', 'fluid/positive', 'inconsistent/negative']|['bold/positive', 'determined/positive', 'momentum/positive', 'uneven/negative', 'fluid/positive']
GQDAAGxx|['crisp/positive', 'precise/positive', 'even/positive', 'blemishes/negative', 'inconsistent/negative']|['delicate/positive', 'controlled/positive', 'poised/positive', 'blurring/negative', 'slips/negative']
GVjqPKEW|['steady/positive', 'flowing/positive', 'precise/positive', 'shaping/positive', 'improvable/negative']|['crisp/positive', 'appropriate/positive', 'hurrying/negative', 'dynamics/positive', 'inconsistent/negative']
GWyOPjrV|['graceful/positive', 'projected/positive', 'inconsistent/negative', 'ornamentation/negative', 'legato/negative']|['reliable/positive', 'confident/positive', 'blemishes/negative', 'inaccurate/negative', 'fluent/positive']
GXYNoypr|['crisp/positive', 'cohesive/positive', 'articulate/positive', 'vibrant/positive', 'tighter/negative']|['soft/positive', 'expressive/positive', 'pedal-controlled/positive', 'clipped/negative', 'inconsistent/negative']
GXggDkKV|['flowing/positive', 'momentum/positive', 'dialogue/positive', 'pedalling/positive', 'phrasing/negative']|['ambitious/positive', 'breathless/negative', 'disorganised/negative', 'determined/positive', 'poised/positive']
GbDYQNWE|['stylish/positive', 'poised/positive', 'nuanced/positive', 'untidy/negative', 'secure/positive']|['jaunty/positive', 'detached/positive', 'lyrical/negative', 'assured/positive', 'articulation/positive']
GexazVyR|['secure/positive', 'precise/positive', 'legato/negative', 'contrasts/negative', 'flowing/positive']|['confident/positive', 'accurate/positive', 'octave-shift/negative', 'contrasts/negative', 'engaging/positive']
GkYWKRYE|['sprightly/positive', 'energetic/positive', 'crisp/positive', 'assured/positive', 'inadequate/negative']|['well-projected/positive', 'reliable/positive', 'gentle/positive', 'lacking/negative', 'sensitively/positive']
Gpjdzzya|['articulation/positive', 'pulse/positive', 'contrast/negative', 'phrasing/negative', 'variety/positive']|['delicate/positive', 'colours/positive', 'pedal/positive', 'focus/negative', 'dynamics/positive']
GvPQMAdo|['stylistic/positive', 'steady/positive', 'slips/negative', 'phrasing/positive', 'neat/positive']|['gentle/positive', 'soft/positive', 'imprecision/negative', 'flowing/positive', 'pedal/positive']
JKKQPBpz|['balanced/positive', 'apt/positive', 'underdeveloped/negative', 'colorful/positive', 'unstable/negative']|['energetic/positive', 'slowed/negative', 'imprecise/negative', 'accurate/positive', 'unfocused/negative']
JMlVYLnw|['elegance/positive', 'vitality/positive', 'rubato/negative', 'deviations/negative', 'phrasing/positive']|['spirit/positive', 'sparkle/positive', 'imprecisions/negative', 'articulation/negative', 'flamboyance/positive']
JNReQRgw|['crisp/positive', 'projected/positive', 'stylish/positive', 'uneasy/negative', 'impeded/negative']|['lyrical/positive', 'balanced/positive', 'dynamic/positive', 'instability/negative', 'continuity/positive']
JNdWqNBG|['expressive/positive', 'melodic/positive', 'uneven/negative', 'dramatic/positive', 'pitchy/negative']|['energetic/positive', 'ambitious/positive', 'unsteady/negative', 'coherent/positive', 'poised/positive']
JVolEnwg|['lively/positive', 'crisp/positive', 'uneven/negative', 'understated/negative', 'dance-like/positive']|['apt/positive', 'steady/positive', 'uncoordinated/negative', 'understated/negative', 'confident/positive']
JZkKVWDy|['expressive/positive', 'defined/positive', 'accurate/positive', 'confident/positive', 'overbearing/negative']|['fluent/positive', 'precise/positive', 'controlled/positive', 'engaged/positive', 'blurring/negative']
JaMAvxWM|['accurate/positive', 'dynamic/positive', 'sparkling/positive', 'incohesive/negative', 'overbold/negative']|['unconvincing/negative', 'incohesive/negative', 'accurate/positive', 'expressive/positive', 'unbalanced/negative']
JgLaEEbR|['confident/positive', 'reliable/positive', 'articulated/positive', 'unsteady/negative', 'untidy/negative']|['poised/positive', 'shaped/positive', 'flexible/positive', 'unsettled/negative', 'overshadowed/negative']
JoPvwryb|['flow/positive', 'gentle/positive', 'reflective/positive', 'bumpiness/negative', 'slips/negative']|['lively/positive', 'vibrant/positive', 'uncertainty/negative', 'inaccuracy/negative', 'buoyant/positive']
JooEbxWe|['smooth/positive', 'balanced/positive', 'clear/positive', 'secure/positive', 'underexpressed/negative']|['flow/positive', 'robust/positive', 'poise/positive', 'controlled/positive', 'expressive/negative']
JrWqOoYx|['well-paced/positive', 'fluent/positive', 'projection/negative', 'consistency/negative', 'colourful/positive']|['poised/positive', 'fluent/positive', 'projection/negative', 'sincere/positive', 'confident/positive']
JwJDLvWL|['accurate/positive', 'inconsistent/negative', 'cautious/negative', 'fluent/positive', 'dance-like/positive']|['brisk/positive', 'secure/positive', 'imprecise/negative', 'understated/negative', 'controlled/positive']
Jzzkpboj|['confident/positive', 'clear/positive', 'unrhythmic/negative', 'untidy/negative', 'assured/positive']|['characterful/positive', 'bright/positive', 'unsteady/negative', 'hurried/negative', 'precise/positive']
KElXlakb|['sincere/positive', 'mysterious/positive', 'rhythmic/positive', 'lyrical/positive', 'improvable/negative']|['sustained/positive', 'precise/positive', 'irregular/negative', 'textural/positive', 'assured/positive']
KJwZOJjZ|['bright/positive', 'articulated/positive', 'blemishes/negative', 'inconsistencies/negative', 'defined/positive']|['projection/positive', 'flexible/positive', 'inconsistent/negative', 'blurring/negative', 'assured/positive']
KMElDLNL|['bold/positive', 'coordinated/positive', 'balanced/positive', 'accurate/positive', 'limited/negative']|['mysterious/positive', 'controlled/positive', 'underdeveloped/negative', 'vivid/positive', 'persuasive/positive']
KRBZbvBZ|['vibrancy/positive', 'articulation/positive', 'dexterity/positive', 'sparkle/positive', 'rushing/negative']|['impetus/positive', 'evenness/positive', 'dynamics/positive', 'slip/negative', 'character/positive']
KWwokJNK|['bright/positive', 'rhythmic/positive', 'articulation/positive', 'uneven/negative', 'coordination/negative']|['sincerity/positive', 'expressive/positive', 'warmth/positive', 'unevenness/negative', 'clarity/negative']
KZOdLGna|['flowing/positive', 'warm/positive', 'balanced/positive', 'expressive/positive', 'accurate/positive']|['pulse/positive', 'control/posiKZVbEEnb', 'reflective/positive']
KaAbrRzE|['warmth/positive', 'balanced/positive', 'understated/negative', 'secure/positive', 'controlled/positive']|['crisp/positive', 'balanced/positive', 'vivid/positive', 'swing/positive', 'engaging/positive']
KrLQegkq|['articulate/positive', 'lively/positive', 'uneven/negative', 'nuanced/positive', 'colourful/positive']|['expressive/positive', 'sentimental/positive', 'excessive/negative', 'warmth/positive', 'flow/positive']
KxbqDZWq|['colourful/positive', 'elegant/positive', 'clear/positive', 'balanced/positive', 'imprecise/negative']|['warmth/positive', 'legato/positive', 'control/positive', 'unclear/negative', 'inconsistent/negative']
KzAkADyO|['bright/positive', 'buoyant/positive', 'accurate/positive', 'consistent/positive', 'limited/negative']|['broody/negative', 'lyrical/positive', 'nuanced/positive', 'varied/positive', 'focused/positive']
LBXxZdQR|['Rhythmic/positive', 'Accurate/positive', 'Coordinated/positive', 'Secure/positive', 'Confident/positive']|['Fluid/positive', 'Expressive/positive', 'Controlled/positive', 'Sentimental/positive', 'Precise/positive']
LOWaxdpk|['confident/positive', 'fluid/positive', 'bold/positive', 'unstable/negative', 'ungainly/negative']|['controlled/positive', 'lively/positive', 'energetic/positive', 'engaging/positive', 'unclear/negative']
LRVgLOwp|['soft/positive', 'elegant/positive', 'blurred/negative', 'imprecise/negative', 'nuanced/positive']|['atmospheric/positive', 'pinpointed/positive', 'unclear/negative', 'spacious/positive', 'imaginative/positive']
LXNdpXlO|['focused/positive', 'secure/positive', 'bold/positive', 'convincing/positive', 'fluctuating/negative']|['buoyant/positive', 'compelling/positive', 'balanced/positive', 'lyrical/positive', 'stumbles/negative']
LaQMNNwl|['flow/positive', 'warmth/positive', 'projection/positive', 'expressive/positive', 'energy/positive']|['serenity/positive', 'shaping/positive', 'variation/positive', 'inconsistent/negative', 'presentation/positive']
LaqdOGbn|['flowing/positive', 'clear/positive', 'distracting/negative', 'arc/positive', 'unclear/negative']|['expressive/positive', 'balanced/positive', 'uncertain/negative', 'convincing/positive', 'stylish/positive']
LdloqzRj|['dramatic/positive', 'refined/positive', 'clear/positive', 'blurs/negative', 'unevenness/negative']|['vivid/positive', 'flamboyant/positive', 'unclear/negative', 'blemishes/negative', 'momentum/positive']
Leojqxqb|['precise/positive', 'well-defined/positive', 'nuanced/positive', 'accurate/positive', 'controlled/positive']|['expressive/positive', 'rubato/positive', 'warm/positive', 'lyrical/positive', 'uneven/negative']
LkeQJOkK|['assured/positive', 'bright/positive', 'rushed/negative', 'untidy/negative', 'convincing/positive']|['expressive/positive', 'legato/positive', 'reliable/positive', 'imbalanced/negative', 'unclear/negative']
LmzMelOw|['lively/positive', 'untidy/negative', 'skip/positive', 'incomplete/negative', 'dynamic/positive']|['precise/positive', 'clean/positive', 'varied/positive', 'understated/negative', 'buoyant/positive']
LnwbNOAW|['bright/positive', 'flowing/positive', 'precise/positive', 'heavy/negative', 'reliable/positive']|['lyrical/positive', 'fluid/positive', 'misaligned/negative', 'projection/negative', 'atmospheric/positive']
LpBbrgjJ|['balanced/positive', 'confident/positive', 'articulate/positive', 'secure/positive', 'dynamic/positive']|['controlled/positive', 'smooth/positive', 'expressive/negative', 'sustained/negative', 'momentum/positive']
MLblkNYp|['decisive/positive', 'warm/positive', 'projection/positive', 'unevenness/negative', 'reliable/positive']|['incisive/positive', 'intensity/positive', 'involvement/positive', 'unsteady/negative', 'assurance/positive']
MNmXrOoa|['confident/positive', 'rhythmic/positive', 'coordinated/positive', 'hesitancy/negative', 'lightness/positive']|['flowing/positive', 'assured/positive', 'overshadowing/negative', 'unbalanced/negative', 'lyrical/positive']
MPYkrQrk|['fluent/positive', 'even/positive', 'articulate/positive', 'rushed/negative', 'blemishes/negative']|['projection/positive', 'bright/positive', 'confident/positive', 'rushed/negative', 'compromised/negative']
MQQnaVYb|['assertive/positive', 'flow/positive', 'cautious/negative', 'fluctuations/negative', 'accurate/positive']|['sensitive/positive', 'angular/negative', 'clarity/positive', 'errors/negative', 'focus/positive']
EdXEMzXj|['energetic/positive', 'playful/positive', 'challenging/negative', 'sparkling/positive', 'errors/negative']|['determined/positive', 'reserved/negative', 'uneven/negative', 'crisp/positive', 'resilient/positive']
KZVbEEnb|['reflective/positive', 'judicious/positive', 'expressive/positive', 'pedalling/negative', 'shading/negative']|['playful/positive', 'articulation/positive', 'synchronised/positive', 'uncontrolled/negative', 'enjoyment/positive']
MVjWBXrg|['bright/positive', 'coordinated/positive', 'energised/positive', 'rushed/negative', 'intonation/positive']|['fluent/positive', 'shaped/positive', 'balanced/positive', 'ambitious/positive', 'projected/positive']
MdWZVjnl|['crisp/positive', 'decisive/positive', 'jazzy/positive', 'accurate/positive', 'pulse/negative']|['infectious/positive', 'coordination/positive', 'pedal/positive', 'convincing/positive', 'subtleties/negative']
MeNwkyGe|['well-judged/positive', 'sustained/positive', 'dynamic/positive', 'monotone/negative', 'confident/positive']|['determined/positive', 'bold/positive', 'controlled/positive', 'inconsistent/negative', 'characterful/positive']
MlRQbALE|['light/positive', 'defined/positive', 'bright/positive', 'flowing/positive', 'legato/positive']|['coordinated/positive', 'expressive/positive', 'nuanced/positive', 'outstanding/positive', 'flawless/positive']
NBAznpqY|['buoyant/positive', 'lively/positive', 'colourful/positive', 'characterful/positive', 'smudged/negative']|['energetic/positive', 'crisp/positive', 'vibrant/positive', 'rhythmic/positive', 'cool/negative']
NDawkgAl|['nuanced/positive', 'clarity/positive', 'expressive/positive', 'waning/negative', 'insufficient/negative']|['lively/positive', 'dynamic/positive', 'restrained/negative', 'uneven/negative', 'buoyant/positive']
NRrbDxBR|['legato/positive', 'lyrical/positive', 'balanced/positive', 'pedalling/positive', 'conveyed/positive']|['lightness/positive', 'elegance/positive', 'dynamic/positive', 'poise/positive', 'unevenness/negative']
NYBARegg|['buoyant/positive', 'flow/positive', 'monotone/negative', 'lively/positive', 'variation/negative']|['controlled/positive', 'natural/positive', 'contrast/negative', 'dominant/negative', 'cantabile/positive']
NebeyZYa|['expressive/positive', 'lyrical/positive', 'colorful/positive', 'rubato/negative', 'inconsistent/negative']|['bold/positive', 'accurate/positive', 'cohesive/positive', 'imprecise/negative', 'unsteady/negative']
NjGwjlwy|['steady/positive', 'tidy/positive', 'tonal/positive', 'voicing/negative', 'phrasing/negative']|['dramatic/positive', 'bright/positive', 'momentum/negative', 'uneven/negative', 'projection/positive']
NleAVPYP|['sophisticated/positive', 'expressive/positive', 'balanced/positive', 'unsteady/negative', 'blurred/negative']|['bright/positive', 'energised/positive', 'communicative/positive', 'unpolished/negative', 'rushed/negative']
NylGpqnp|['momentum/positive', 'confidence/positive', 'projection/positive', 'evenness/positive', 'crushed/negative']|['jocular/positive', 'variety/positive', 'inconsistency/negative', 'verve/positive', 'definition/positive']
OKdWDkGJ|['flexible/positive', 'reliable/positive', 'pedal/positive', 'expressive/positive', 'atmospheric/positive']|['controlled/positive', 'accurate/positive', 'dainty/positive', 'subtleties/positive', 'lapses/negative']
OKqxWAJY|['tempo/positive', 'pedalling/positive', 'accentuation/negative', 'phrasing/negative', 'reflective/positive']|['playful/positive', 'articulation/positive', 'synchronised/positive', 'balance/negative', 'urgency/negative']
ONWWNryw|['expressive/positive', 'nuanced/positive', 'fluid/positive', 'underpowered/negative', 'assured/positive']|['bright/positive', 'fiery/positive', 'harsh/negative', 'varied/positive', 'accomplished/positive']
OZwveKjw|['decisive/positive', 'sparkling/positive', 'accurate/positive', 'confident/positive', 'unsettled/negative']|['romantic/positive', 'expressive/positive', 'dexterous/positive', 'inconsistent/negative', 'overdone/negative']
OZxpevxk|['brisk/positive', 'agile/positive', 'bright/positive', 'even/positive', 'uncoordinated/negative']|['balanced/positive', 'coordinated/positive', 'poised/positive', 'reliable/positive', 'misaligned/negative']
ObQmJDbe|['expressive/positive', 'flowing/positive', 'appropriate/positive', 'dominant/negative', 'warmth/positive']|['colorful/positive', 'poised/positive', 'heavy/negative', 'inaccurate/negative', 'engaging/positive']
OdQGrPLr|['bright/positive', 'sprightly/positive', 'projection/negative', 'breezy/positive', 'fluency/positive']|['crisp/positive', 'narrative/positive', 'smudged/negative', 'underdetailed/negative', 'engagement/positive']
OgrRRQrP|['crisp/positive', 'energised/positive', 'balanced/positive', 'projected/positive', 'imprecise/negative']|['strong/positive', 'purposeful/positive', 'committed/positive', 'poised/positive', 'unclear/negative']
OmnlVDEV|['engaging/positive', 'articulation/positive', 'dexterity/positive', 'smudge/negative', 'precise/positive']|['beautiful/positive', 'vivacity/positive', 'effervescent/negative', 'pauses/negative', 'artistry/positive']
PAzwdYkw|['bold/positive', 'lively/positive', 'contrasts/positive', 'slips/negative', 'focus/positive']|['angry/negative', 'uneven/negative', 'projected/positive', 'character/positive', 'intense/positive']
PKzLBdkZ|['energetic/positive', 'buoyant/positive', 'untidy/negative', 'imprecise/negative', 'vitality/positive']|['articulation/positive', 'contrast/positive', 'intimacy/positive', 'inflexible/negative', 'overemphasis/negative']
PQDgxjbe|['lyrical/positive', 'nuanced/positive', 'unsteady/negative', 'underdeveloped/negative', 'elegant/positive']|['jaunty/positive', 'buoyant/positive', 'unstable/negative', 'meticulous/positive', 'blemishes/negative']
PQnLeMjQ|['agile/positive', 'overemphasised/negative', 'lyricism/positive', 'reliable/positive', 'pedalling/negative']|['flowing/positive', 'trills-heavy/negative', 'interplay/positive', 'shaping/positive', 'pedalling/negative']
PgMnaaKN|['in', 'tense/positive', 'dramatic/positive', 'incisive/positive', 'inconsistent/negative', 'characterful/positive']|['unsteady/negative', 'lightness/positive', 'sparkle/positive', 'imprecise/negative', 'accurate/positive']
PjLQwxgg|['expressive/positive', 'warm/positive', 'legato/positive', 'balanced/positive', 'unsettling/negative']|['characterful/positive', 'clarity/positive', 'continuity/positive', 'unsteady/negative', 'blemishes/negative']
PkpkaQNG|['lively/positive', 'flowing/positive', 'unsteady/negative', 'crisp/positive', 'controlled/positive']|['warm/positive', 'steady/positive', 'unrhythmic/negative', 'lyrical/positive', 'understated/negative']
QAvOLDrW|['energetic/positive', 'confident/positive', 'lift/positive', 'rhythmic/positive', 'understated/negative']|['secure/positive', 'underprojected/negative', 'shaping/positive', 'danceable/positive', 'poised/positive']
QNlDzqyk|['groove/positive', 'secure/positive', 'emphatic/positive', 'limited/negative', 'conviction/negative']|['poignant/positive', 'warm/positive', 'reflective/positive', 'lyrical/positive', 'understated/negative']
QPnPbVdX|['enterprising/positive', 'dexterity/positive', 'spirited/positive', 'inaccuracies/negative', 'unevenness/negative']|['well-paced/positive', 'romantic/positive', 'balanced/positive', 'pedaling/negative', 'rhythmic/negative']
QjlJDjJM|['bright/positive', 'projected/positive', 'varied/positive', 'accurate/positive', 'unsteady/negative']|['legato/positive', 'focused/positive', 'clear/positive', 'limited/negative', 'uneven/negative']
QlLYjEvP|['eng', 'energetic/positive', 'expressive/positive', 'brilliant/positive', 'imprecise/negative', 'slowed/negative']|['crisp/positive', 'lively/positive', 'unclear/negative', 'engaging/positive', 'poised/positive']
QpelDLNJ|['bright/positive', 'sparkling/positive', 'conversational/positive', 'musical/positive', 'poised/positive']|['colorful/positive', 'uneven/negative', 'dynamic/positive', 'conviction/positive', 'enjoyment/positive']
QrKmLVnN|['tidy/positive', 'assured/positive', 'measured/negative', 'nuance/negative', 'secure/positive']|['colorful/positive', 'subtle/positive', 'slips/negative', 'seamless/negative', 'focused/positive']
RKedPYva|['precise/positive', 'accurate/positive', 'confident/positive', 'unstable/negative', 'blurred/negative']|['defined/positive', 'assured/positive', 'dramatic/positive', 'static/negative', 'clarity/negative']
RLnEDnnr|['expressive/positive', 'soulful/positive', 'balanced/positive', 'flexible/positive', 'error/negative']|['purposeful/positive', 'spirited/positive', 'consistent/positive', 'confident/positive', 'imprecise/negative']
ROPMXDQj|['bold/positive', 'confident/positive', 'coordinated/positive', 'weak/negative', 'engaging/positive']|['delicate/positive', 'smooth/positive', 'uncoordinated/negative', 'persuasive/positive', 'appropriate/positive']
RQpwkyDJ|['timeless/positive', 'thoughtful/positive', 'inexact/negative', 'graceful/positive', 'expressive/positive']|['energetic/positive', 'hurried/negative', 'imprecise/negative', 'dramatic/positive', 'assured/positive']
RRRergEQ|['stylistic/positive', 'accurate/positive', 'ornaments/positive', 'vigour/negative', 'illuminating/positive']|['mobility/positive', 'verve/positive', 'hesitation/negative', 'pedalling/negative', 'sincerity/positive']
RYYLWzlD|['stylish/positive', 'precise/positive', 'character/positive', 'accurate/positive', 'evenness/negative']|['expressive/positive', 'smooth/positive', 'richness/positive', 'lyrical/positive', 'imbalance/negative']
RedeNMvd|['driving/positive', 'committed/positive', 'loose/negative', 'unbalanced/negative', 'attack/positive']|['poised/positive', 'warm/positive', 'undifferentiated/negative', 'secure/positive', 'personal/positive']
RmEeZWZq|['tranquil/positive', 'expressive/positive', 'inconsistent/negative', 'uneven/negative', 'peaceful/positive']|['stylish/positive', 'measured/positive', 'colorful/positive', 'imprecise/negative', 'inconsistent/negative']
RnKZOPnx|['buoyant/positive', 'vitality/positive', 'articulation/positive', 'flexibility/negative', 'metronomic/negative']|['cantabile/positive', 'engagement/positive', 'phrasing/negative', 'legato/negative', 'dynamics/positive']
RnZwobDX|['momentum/positive', 'energetic/positive', 'sustained/positive', 'characterisation/positive', 'inconsistent/negative']|['calm/positive', 'lilting/positive', 'balanced/positive', 'expressive/positive', 'uneven/negative']
RnndVvrg|['bright/positive', 'buoyant/positive', 'sloppy/negative', 'disruptive/negative', 'clarity/positive']|['exciting/positive', 'assured/positive', 'energetic/positive', 'varied/positive', 'understated/negative']
RpPjADGg|['stylish/positive', 'accurate/positive', 'coordinated/positive', 'characterful/positive', 'vibrancy/negative']|['purposeful/positive', 'sentimental/positive', 'uneasy/negative', 'colourful/positive', 'inconsistent/negative']
RwZWRXem|['cheerful/positive', 'crisp/positive', 'uneven/negative', 'unsettled/negative', 'shaping/positive']|['unhurried/positive', 'somber/positive', 'blurred/negative', 'expressive/negative', 'steady/positive']
RxAEbJPP|['bold/positive', 'secure/positive', 'harsh/negative', 'crisp/positive', 'shaping/positive']|['vibrant/positive', 'projected/positive', 'vigorous/positive', 'blurred/negative', 'coordinated/positive']
VWaZvLak|['neat/positive', 'dynamic/positive', 'accuracy/positive', 'control/positive', 'rhythm/negative']|['projected/positive', 'dynamics/positive', 'clarity/negative', 'legato/negative', 'focus/positive']
